候选ID,策略家族,来源,分数,表达式,模拟设置JSON,变体序号,精确哈希,参数骨架,字段骨架,生成时间
near_pass_variant:primary,near_pass_variant,near_pass,3.75,"(group_rank(ts_delta(anl4_ebitda_value, 126)/cap,industry)-0.5)*0.7+(ts_rank(vwap/close, 252)-0.5)*0.3","{""instrumentType"": ""EQUITY"", ""region"": ""USA"", ""universe"": ""TOP3000"", ""delay"": 1, ""decay"": 4, ""neutralization"": ""MARKET"", ""truncation"": 0.05, ""pasteurization"": ""ON"", ""unitHandling"": ""VERIFY"", ""nanHandling"": ""ON"", ""language"": ""FASTEXPR"", ""visualization"": false}",0,4d1c2ba4d9ecf31c0f17138d4d5086868b62fbea31eff60a45050a81cc1dd94c,"add(mul(#,sub(group_rank(div(ts_delta(anl4_ebitda_value,#),cap),industry),#)),mul(#,sub(ts_rank(div(vwap,close),#),#)))","add(mul(#,sub(group_rank(div(ts_delta(FIELD,#),FIELD),industry),#)),mul(#,sub(ts_rank(div(FIELD,FIELD),#),#)))",2026-08-01T14:17:15.543358+00:00
near_pass_variant:primary,near_pass_variant,near_pass,3.7399999999999998,"trade_when(rank(ts_mean(volume,63)/adv20),((group_rank(ts_delta(anl4_ebitda_value, 126)/cap,industry)-0.5)*0.7+(ts_rank(vwap/close,126)-0.5)*0.3),-1)","{""instrumentType"": ""EQUITY"", ""region"": ""USA"", ""universe"": ""TOP3000"", ""delay"": 1, ""decay"": 4, ""neutralization"": ""MARKET"", ""truncation"": 0.05, ""pasteurization"": ""ON"", ""unitHandling"": ""VERIFY"", ""nanHandling"": ""ON"", ""language"": ""FASTEXPR"", ""visualization"": false}",0,578e51cd0b072663024124d5b4bb62f3c93a8594ac4987d16c33c28e0c4636dc,"trade_when(div(ts_mean(volume,#),adv20),add(mul(#,sub(group_rank(div(ts_delta(anl4_ebitda_value,#),cap),industry),#)),mul(#,sub(ts_rank(div(vwap,close),#),#))),neg(#))","trade_when(div(ts_mean(FIELD,#),FIELD),add(mul(#,sub(group_rank(div(ts_delta(FIELD,#),FIELD),industry),#)),mul(#,sub(ts_rank(div(FIELD,FIELD),#),#))),neg(#))",2026-08-01T14:17:15.543358+00:00
near_pass_variant:primary,near_pass_variant,near_pass,3.77,"((group_rank(ts_delta(assets, 252)/cap,sector)-0.5)*0.7+(ts_rank(vwap/close, 126)-0.5)*0.3)*rank(ts_mean(volume, 126)/adv20)","{""instrumentType"": ""EQUITY"", ""region"": ""USA"", ""universe"": ""TOP3000"", ""delay"": 1, ""decay"": 4, ""neutralization"": ""MARKET"", ""truncation"": 0.05, ""pasteurization"": ""ON"", ""unitHandling"": ""VERIFY"", ""nanHandling"": ""ON"", ""language"": ""FASTEXPR"", ""visualization"": false}",0,a1fcaab498235d3611c5404474ddf8e618934575694d73579be4634a757135f1,"mul(add(mul(#,sub(group_rank(div(ts_delta(assets,#),cap),sector),#)),mul(#,sub(ts_rank(div(vwap,close),#),#))),div(ts_mean(volume,#),adv20))","mul(add(mul(#,sub(group_rank(div(ts_delta(FIELD,#),FIELD),sector),#)),mul(#,sub(ts_rank(div(FIELD,FIELD),#),#))),div(ts_mean(FIELD,#),FIELD))",2026-08-01T14:17:15.543358+00:00
near_pass_variant:primary,near_pass_variant,near_pass,3.69,"((group_rank(ts_delta(anl4_ebitda_value, 126)/cap,industry)-0.5)*0.7+(ts_rank(vwap/close,126)-0.5)*0.3)*rank(ts_mean(volume, 63)/adv20)","{""instrumentType"": ""EQUITY"", ""region"": ""USA"", ""universe"": ""TOP3000"", ""delay"": 1, ""decay"": 4, ""neutralization"": ""MARKET"", ""truncation"": 0.05, ""pasteurization"": ""ON"", ""unitHandling"": ""VERIFY"", ""nanHandling"": ""ON"", ""language"": ""FASTEXPR"", ""visualization"": false}",0,d98066212c40a6969a77fe4c629213682acd8ca62d36c6a712ad63d556904760,"mul(add(mul(#,sub(group_rank(div(ts_delta(anl4_ebitda_value,#),cap),industry),#)),mul(#,sub(ts_rank(div(vwap,close),#),#))),div(ts_mean(volume,#),adv20))","mul(add(mul(#,sub(group_rank(div(ts_delta(FIELD,#),FIELD),industry),#)),mul(#,sub(ts_rank(div(FIELD,FIELD),#),#))),div(ts_mean(FIELD,#),FIELD))",2026-08-01T14:17:15.543358+00:00
arch_delta_liquid:primary,arch_delta_liquid,proven,10.7,"group_neutralize(ts_zscore(ts_delta(anl10_analyst_innovation_eps_revise_ratio_to_close_fy1,126)/cap,126)*rank(ts_mean(volume,63)/adv20),sector)","{""instrumentType"": ""EQUITY"", ""region"": ""USA"", ""universe"": ""TOP3000"", ""delay"": 1, ""decay"": 4, ""neutralization"": ""MARKET"", ""truncation"": 0.05, ""pasteurization"": ""ON"", ""unitHandling"": ""VERIFY"", ""nanHandling"": ""ON"", ""language"": ""FASTEXPR"", ""visualization"": false}",0,0d45f3475985221f2b1c4ec5071172cbd3502c6e955d6f051c2f98323e06cacb,"group_neutralize(mul(div(ts_mean(volume,#),adv20),ts_zscore(div(ts_delta(anl10_analyst_innovation_eps_revise_ratio_to_close_fy1,#),cap),#)),sector)","group_neutralize(mul(div(ts_mean(FIELD,#),FIELD),ts_zscore(div(ts_delta(FIELD,#),FIELD),#)),sector)",2026-08-01T14:17:15.543358+00:00
arch_delta_liquid:primary,arch_delta_liquid,proven,10.7,"group_neutralize(ts_zscore(ts_delta(anl10_analyst_innovation_eps_revise_ratio_to_close_fy2,126)/cap,126)*rank(ts_mean(volume,63)/adv20),sector)","{""instrumentType"": ""EQUITY"", ""region"": ""USA"", ""universe"": ""TOP3000"", ""delay"": 1, ""decay"": 4, ""neutralization"": ""MARKET"", ""truncation"": 0.05, ""pasteurization"": ""ON"", ""unitHandling"": ""VERIFY"", ""nanHandling"": ""ON"", ""language"": ""FASTEXPR"", ""visualization"": false}",0,cbb5dc855e318775ad13446774f0aa92e2caefc3e95c348acce5b246ce0542d4,"group_neutralize(mul(div(ts_mean(volume,#),adv20),ts_zscore(div(ts_delta(anl10_analyst_innovation_eps_revise_ratio_to_close_fy2,#),cap),#)),sector)","group_neutralize(mul(div(ts_mean(FIELD,#),FIELD),ts_zscore(div(ts_delta(FIELD,#),FIELD),#)),sector)",2026-08-01T14:17:15.543358+00:00
arch_delta_liquid:primary,arch_delta_liquid,proven,10.7,"group_neutralize(ts_zscore(ts_delta(anl10_analyst_innovation_eps_revise_ratio_to_consensus_fy1,126)/cap,126)*rank(ts_mean(volume,63)/adv20),sector)","{""instrumentType"": ""EQUITY"", ""region"": ""USA"", ""universe"": ""TOP3000"", ""delay"": 1, ""decay"": 4, ""neutralization"": ""MARKET"", ""truncation"": 0.05, ""pasteurization"": ""ON"", ""unitHandling"": ""VERIFY"", ""nanHandling"": ""ON"", ""language"": ""FASTEXPR"", ""visualization"": false}",0,070696ebc3bfad00c4fdc7f49d6ff3585f1d291c94b27a9f042141982f532065,"group_neutralize(mul(div(ts_mean(volume,#),adv20),ts_zscore(div(ts_delta(anl10_analyst_innovation_eps_revise_ratio_to_consensus_fy1,#),cap),#)),sector)","group_neutralize(mul(div(ts_mean(FIELD,#),FIELD),ts_zscore(div(ts_delta(FIELD,#),FIELD),#)),sector)",2026-08-01T14:17:15.543358+00:00
arch_delta_liquid:primary,arch_delta_liquid,proven,10.7,"group_neutralize(ts_zscore(ts_delta(anl10_analyst_innovation_eps_revise_ratio_to_consensus_fy2,126)/cap,126)*rank(ts_mean(volume,63)/adv20),sector)","{""instrumentType"": ""EQUITY"", ""region"": ""USA"", ""universe"": ""TOP3000"", ""delay"": 1, ""decay"": 4, ""neutralization"": ""MARKET"", ""truncation"": 0.05, ""pasteurization"": ""ON"", ""unitHandling"": ""VERIFY"", ""nanHandling"": ""ON"", ""language"": ""FASTEXPR"", ""visualization"": false}",0,a48ce5210baeb15af66220e9359df02c955f6f3fe0ff48b2e1fb7e1d83fc4a46,"group_neutralize(mul(div(ts_mean(volume,#),adv20),ts_zscore(div(ts_delta(anl10_analyst_innovation_eps_revise_ratio_to_consensus_fy2,#),cap),#)),sector)","group_neutralize(mul(div(ts_mean(FIELD,#),FIELD),ts_zscore(div(ts_delta(FIELD,#),FIELD),#)),sector)",2026-08-01T14:17:15.543358+00:00
arch_delta_liquid:primary,arch_delta_liquid,proven,10.7,"group_neutralize(ts_zscore(ts_delta(anl10_analyst_innovation_eps_revise_ratio_to_consensus_fq1,126)/cap,126)*rank(ts_mean(volume,63)/adv20),sector)","{""instrumentType"": ""EQUITY"", ""region"": ""USA"", ""universe"": ""TOP3000"", ""delay"": 1, ""decay"": 4, ""neutralization"": ""MARKET"", ""truncation"": 0.05, ""pasteurization"": ""ON"", ""unitHandling"": ""VERIFY"", ""nanHandling"": ""ON"", ""language"": ""FASTEXPR"", ""visualization"": false}",0,1b15a70625aa664bde280626b1442e2f0c74f39f5c565fad4992d79868ce6dcb,"group_neutralize(mul(div(ts_mean(volume,#),adv20),ts_zscore(div(ts_delta(anl10_analyst_innovation_eps_revise_ratio_to_consensus_fq1,#),cap),#)),sector)","group_neutralize(mul(div(ts_mean(FIELD,#),FIELD),ts_zscore(div(ts_delta(FIELD,#),FIELD),#)),sector)",2026-08-01T14:17:15.543358+00:00
arch_delta_liquid:primary,arch_delta_liquid,proven,10.7,"group_neutralize(ts_zscore(ts_delta(anl10_analyst_innovation_eps_revise_ratio_to_consensus_fq2,126)/cap,126)*rank(ts_mean(volume,63)/adv20),sector)","{""instrumentType"": ""EQUITY"", ""region"": ""USA"", ""universe"": ""TOP3000"", ""delay"": 1, ""decay"": 4, ""neutralization"": ""MARKET"", ""truncation"": 0.05, ""pasteurization"": ""ON"", ""unitHandling"": ""VERIFY"", ""nanHandling"": ""ON"", ""language"": ""FASTEXPR"", ""visualization"": false}",0,6da2e1d2923147a68d7ff0683bc7bd104745cd41bd3ecfbf659b77f84bba26f0,"group_neutralize(mul(div(ts_mean(volume,#),adv20),ts_zscore(div(ts_delta(anl10_analyst_innovation_eps_revise_ratio_to_consensus_fq2,#),cap),#)),sector)","group_neutralize(mul(div(ts_mean(FIELD,#),FIELD),ts_zscore(div(ts_delta(FIELD,#),FIELD),#)),sector)",2026-08-01T14:17:15.543358+00:00
